district_no,district_name,ac_no,ac_name,polling_stations,male,female,third_gender,total
1,Kokrajhar,1,Gossaigaon,154,57469,57012,5,114486
1,Kokrajhar,2,Dotma (ST),146,53180,53831,0,107011
1,Kokrajhar,3,Kokrajhar (ST),190,70968,73273,0,144241
1,Kokrajhar,4,Baokhungri,223,81865,82448,1,164314
1,Kokrajhar,5,Parbatjhora,231,89298,84872,3,174173
2,Dhubri,6,Golakganj,260,106078,97798,0,203876
2,Dhubri,7,Gauripur,384,160628,149962,4,310594
2,Dhubri,8,Dhubri,296,119493,111642,1,231136
2,Dhubri,9,Birsing-Jarua,354,145045,135416,0,280461
2,Dhubri,10,Bilasipara,254,96378,95352,0,191730
3,South Salmara,11,Mankachar,402,156903,153325,4,310232
4,Goalpara,12,Jaleswar,300,124380,117815,6,242201
4,Goalpara,13,Goalpara West (ST),205,79798,81351,7,161156
4,Goalpara,14,Goalpara East,274,114130,113733,3,227866
4,Goalpara,15,Dudhnoi (ST),231,85015,90576,1,175592
5,Bongaigaon,16,Abhayapuri,236,91282,91093,1,182376
5,Bongaigaon,17,Srijangram,279,120702,112560,4,233266
5,Bongaigaon,18,Bongaigaon,232,84773,86424,3,171200
6,Chirang,19,Sidli Chirang (ST),287,108695,110315,3,219013
6,Chirang,20,Bijni,242,91465,91511,0,182976
7,Barpeta,22,Mandia,307,144961,136152,2,281115
7,Barpeta,23,Chenga,284,134192,123195,6,257393
7,Barpeta,24,Barpeta (SC),221,86074,84690,3,170767
7,Barpeta,25,Pakabetbari,309,142409,133151,2,275562
8,Bajali,21,Bhawanipur-Sorbhog,270,107913,106894,1,214808
8,Bajali,26,Bajali,223,82791,82608,0,165399
9,Kamrup,27,Chamaria,297,125902,120629,5,246536
9,Kamrup,28,Boko-Chaygaon (ST),241,96872,98802,3,195677
9,Kamrup,29,Palasbari,278,105242,110247,0,215489
9,Kamrup,30,Hajo-Sualkuchi (SC),243,97086,95676,2,192764
9,Kamrup,31,Rangia,265,106752,102513,6,209271
9,Kamrup,32,Kamalpur,231,92686,91603,4,184293
10,Kamrup Metro,33,Dispur,272,117027,126137,12,243176
10,Kamrup Metro,34,Dimoria (SC),262,105384,111559,6,216949
10,Kamrup Metro,35,New Guwahati,219,91398,100045,4,191447
10,Kamrup Metro,36,Guwahati Central,218,93967,97788,3,191758
10,Kamrup Metro,37,Jalukbari,247,97653,108654,7,206314
11,Nalbari,38,Barkhetri,292,113184,106487,1,219672
11,Nalbari,39,Nalbari,269,101985,98293,0,200278
11,Nalbari,40,Tihu,264,104715,99725,1,204441
12,Baksa,41,Manas,258,103114,101527,0,204641
12,Baksa,42,Baksa (ST),244,97864,99822,1,197687
13,Tamulpur,43,Tamulpur (ST),250,107458,106387,1,213846
13,Tamulpur,44,Goreswar,232,102555,102612,0,205167
14,Udalguri,45,Bhergaon,203,79056,81128,3,160187
14,Udalguri,46,Udalguri (ST),210,83741,85464,1,169206
14,Udalguri,47,Mazbat,213,92417,93096,1,185514
14,Udalguri,48,Tangla,239,89232,90709,0,179941
15,Darrang,49,Sipajhar,290,103050,98829,4,201883
15,Darrang,50,Mangaldai,251,101161,99209,3,200373
15,Darrang,51,Dalgaon,366,159641,155633,10,315284
16,Morigaon,52,Jagiroad (SC),335,125521,126232,2,251755
16,Morigaon,53,Laharighat,355,159335,149797,9,309141
16,Morigaon,54,Morigaon,278,102191,103825,3,206019
17,Nagaon,55,Dhing,266,121089,114384,8,235481
17,Nagaon,56,Rupahihat,262,118661,112918,5,231584
17,Nagaon,57,Kaliabor,245,93970,95006,6,188982
17,Nagaon,58,Samaguri,259,113785,111035,6,224826
17,Nagaon,59,Barhampur,284,114711,115751,9,230471
17,Nagaon,60,Nagaon-Batadraba,250,95348,101930,6,197284
17,Nagaon,61,Raha (SC),302,120644,122246,12,242902
18,Hojai,62,Binnakandi,345,138002,130438,3,268443
18,Hojai,63,Hojai,316,127766,122643,1,250410
18,Hojai,64,Lumding,323,123858,119710,1,243569
19,Sonitpur,65,Dhekiajuli,285,112538,111366,2,223906
19,Sonitpur,66,Barchalla,251,95103,94535,7,189645
19,Sonitpur,67,Tezpur,225,84893,90667,3,175563
19,Sonitpur,68,Rangapara,214,82105,86918,6,169029
19,Sonitpur,69,Naduar,256,100670,100822,2,201494
20,Biswanath,70,Biswanath,238,93206,94615,0,187821
20,Biswanath,71,Behali (SC),197,76543,77655,1,154199
20,Biswanath,72,Gohpur,218,86609,84970,0,171579
21,Lakhimpur,73,Bihpuria,206,82991,83649,0,166640
21,Lakhimpur,74,Rongonadi,222,88677,88644,3,177324
21,Lakhimpur,75,Nowboicha (SC),215,87671,85138,2,172811
21,Lakhimpur,76,Lakhimpur,210,81120,82402,4,163526
21,Lakhimpur,77,Dhakuakhana (ST),226,81840,80863,0,162703
22,Dhemaji,78,Dhemaji (ST),226,88580,89739,0,178319
22,Dhemaji,79,Sissiborgaon,230,91381,90102,0,181483
22,Dhemaji,80,Jonai (ST),282,110932,111114,0,222046
23,Tinsukia,81,Sadiya,268,101122,100386,4,201512
23,Tinsukia,82,Doom Dooma,181,69867,78119,4,147990
23,Tinsukia,83,Margherita,222,86401,89708,0,176109
23,Tinsukia,84,Digboi,189,70873,76223,2,147098
23,Tinsukia,85,Makum,204,75457,82967,6,158430
23,Tinsukia,86,Tinsukia,216,84022,88311,18,172351
24,Dibrugarh,87,Chabua-Lahowal,230,85256,91981,1,177238
24,Dibrugarh,88,Dibrugarh,238,93685,103467,2,197154
24,Dibrugarh,89,Khowang,206,76183,81176,4,157363
24,Dibrugarh,90,Duliajan,224,85443,91178,3,176624
24,Dibrugarh,91,Tingkhong,214,85700,91958,0,177658
24,Dibrugarh,92,Naharkatia,210,76114,79783,1,155898
25,Charaideo,93,Sonari,207,84602,87252,1,171855
25,Charaideo,94,Mahmora,184,72805,75889,0,148694
26,Sibsagar,95,Demow,230,87716,90673,1,178390
26,Sibsagar,96,Sibsagar,278,103484,106491,1,209976
26,Sibsagar,97,Nazira,233,88645,93549,2,182196
27,Majuli,98,Majuli (ST),188,73545,71292,0,144837
28,Jorhat,99,Teok,249,96485,101479,0,197964
28,Jorhat,100,Jorhat,182,70897,77382,1,148280
28,Jorhat,101,Mariani,210,80156,84832,1,164989
28,Jorhat,102,Titabor,245,96801,103713,0,200514
29,Golaghat,103,Golaghat,268,99458,101927,2,201387
29,Golaghat,104,Dergaon,235,87114,90415,0,177529
29,Golaghat,105,Bokakhat,212,79952,84695,1,164648
29,Golaghat,106,Khumtai,230,84124,87568,5,171697
29,Golaghat,107,Sarupathar,213,94114,93280,2,187396
30,Karbi Anglong,108,Bokajan (ST),214,78054,79187,0,157241
30,Karbi Anglong,109,Howraghat (ST),239,93420,96191,5,189616
30,Karbi Anglong,110,Diphu (ST),237,89691,92439,9,182139
31,West Karbi,111,Rongkhang (ST),193,66358,65499,1,131858
31,West Karbi Anglong,112,Amri (ST),165,49919,50178,0,100097
32,Dima Hasao,113,Haflong (ST),261,78279,79925,0,158204
33,Cachar,114,Lakhipur,222,87611,89597,1,177209
33,Cachar,115,Udharbond,231,91303,93564,1,184868
33,Cachar,116,Katigorah,281,108454,104776,1,213231
33,Cachar,117,Borkhola,258,103938,100783,2,204723
33,Cachar,118,Silchar,257,103040,108493,5,211538
33,Cachar,119,Sonai,244,98370,96178,3,194551
33,Cachar,120,Dholai (SC),239,98891,96892,0,195783
34,Hailakandi,121,Hailakandi,284,112704,107357,0,220061
34,Hailakandi,122,Algapur-Katlicherra,339,144957,131942,2,276901
35,Sribhumi,123,Karimganj North,326,132442,127201,1,259644
35,Sribhumi,124,Karimganj South,356,147904,136501,3,284408
35,Sribhumi,125,Patharkandi,228,91421,88776,4,180201
35,Sribhumi,126,Ram Krishna Nagar (SC),277,110669,105723,4,216396
